timestamp,value
1613126683.346, 3342614528
1613126703.346, 3342487552
1613126723.346, 3342491648
1613126743.346, 3342655488
1613126763.346, 3342798848
1613126783.346, 3341950976
1613126803.346, 3342512128
1613126823.346, 3342708736
1613126843.346, 3342741504
1613126863.346, 3342782464
1613126883.346, 3341242368
1613126903.346, 3339010048
1613126923.346, 3341508608
1613126943.346, 3341299712
1613126963.346, 3342659584
1613126983.346, 3342692352
1613127003.346, 3342163968
1613127023.346, 3341635584
1613127043.346, 3342581760
1613127063.346, 3342721024
1613127083.346, 3342557184
1613127103.346, 3342561280
1613127123.346, 3342594048
1613127143.346, 3342536704
1613127163.346, 3342569472
1613127183.346, 3342610432
1613127203.346, 3341520896
1613127223.346, 3342553088
1613127243.346, 3341144064
1613127263.346, 3342589952
1613127283.346, 3342499840
1613127303.346, 3341824000
1613127323.346, 3342602240
1613127343.346, 3342606336
1613127363.346, 3341545472
1613127383.346, 3342618624
1613127403.346, 3342684160
1613127423.346, 3342630912
1613127443.346, 3342659584
1613127463.346, 3342598144
1613127483.346, 3342508032
1613127503.346, 3342540800
1613127523.346, 3342581760
1613127543.346, 3342651392
1613127563.346, 3342684160
1613127583.346, 3342721024
1613127603.346, 3342594048
1613127623.346, 3342630912
1613127643.346, 3342663680
1613127663.346, 3342733312
1613127683.346, 3342573568
1613127703.346, 3341701120
1613127723.346, 3341115392
1613127743.346, 3342589952
1613127763.346, 3342626816
1613127783.346, 3342696448
1613127803.346, 3342696448
1613127823.346, 3342729216
1613127843.346, 3342569472
1613127863.346, 3341828096
1613127883.346, 3342548992
1613127903.346, 3341668352
1613127923.346, 3342401536
1613127943.346, 3341783040
1613127963.346, 3342598144
1613127983.346, 3342663680
1613128003.346, 3342536704
1613128023.346, 3342647296
1613128043.346, 3342680064
1613128063.346, 3342520320
1613128083.346, 3342557184
1613128103.346, 3342594048
1613128123.346, 3342594048
1613128143.346, 3339800576
1613128163.346, 3342610432
1613128183.346, 3342643200
1613128203.346, 3342680064
1613128223.346, 3342516224
1613128243.346, 3342553088
1613128263.346, 3342565376
1613128283.346, 3341750272
1613128303.346, 3342606336
1613128323.346, 3342643200
1613128343.346, 3342028800
1613128363.346, 3342712832
1613128383.346, 3342749696
1613128403.346, 3341590528
1613128423.346, 3341524992
1613128443.346, 3342577664
1613128463.346, 3342610432
1613128483.346, 3342647296
1613128503.346, 3341643776
1613128523.346, 3342462976
